Location,length_of_encounter_seconds,country,state,city,UFO_shape_changing,UFO_shape_chevron,UFO_shape_cigar,UFO_shape_circle,UFO_shape_cone,UFO_shape_cross,UFO_shape_cylinder,UFO_shape_diamond,UFO_shape_disk,UFO_shape_egg,UFO_shape_fireball,UFO_shape_flash,UFO_shape_formation,UFO_shape_light,UFO_shape_other,UFO_shape_oval,UFO_shape_rectangle,UFO_shape_sphere,UFO_shape_teardrop,UFO_shape_triangle,UFO_shape_unknown,city_class_Other,city_class_Unknown,city_class_chicago,city_class_lancaster,city_class_las vegas,city_class_los angeles,city_class_orlando,city_class_paradise,city_class_phoenix,city_class_richmond,city_class_san antonio,city_class_san diego,city_class_seattle,city_class_st. louis,city_class_tucson,city_class_wilmington
us | in | indianapolis,180.0,us,in,indianapolis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | fl | north port,120.0,us,fl,north port,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | la | new orleans,5400.0,us,la,new orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | nv | las vegas (near),45.0,us,nv,las vegas (near),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
au | Unknown | brisbane (qld&#44 australia),600.0,au,Unknown,brisbane (qld&#44 australia),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | pa | mechanicsburg,180.0,us,pa,mechanicsburg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | fl | captiva,15.0,us,fl,captiva,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb | Unknown | southampton (hampshire) (uk/england),30.0,gb,Unknown,southampton (hampshire) (uk/england),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | il | south beloit,900.0,us,il,south beloit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | tn | nashville (on i-24 &#4460 mi. southeast of),90.0,us,tn,nashville (on i-24 &#4460 mi. southeast of),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
